ocupacion,sexo,trimestre,valor
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2024T4,740.3
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2024T3,760.1
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2024T2,766.3
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2024T1,763.5
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2023T4,772.5
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2023T3,729.1
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2023T2,728.3
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2023T1,649.2
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2022T4,623.2
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2022T3,641.6
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2022T2,624.5
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2022T1,627.3
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2021T4,640.4
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2021T3,640.7
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2021T2,641.4
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2021T1,608.5
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2020T4,594.1
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2020T3,576.3
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2020T2,584.9
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2020T1,590.0
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2019T4,585.0
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2019T3,576.2
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2019T2,596.0
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2019T1,582.8
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2018T4,580.1
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2018T3,579.0
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2018T2,561.1
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2018T1,548.5
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2017T4,538.9
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2017T3,545.4
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2017T2,546.0
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2017T1,537.0
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2016T4,551.4
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2016T3,556.3
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2016T2,548.9
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2016T1,520.7
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2015T4,513.9
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2015T3,526.3
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2015T2,525.3
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2015T1,514.6
